STN---,WBAN,YEARMODA,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
725090,14739,19980101,14.2,-0.4,1025.4,1024.9,9.9,11.6,15.9,22.9,21.9,7.0,0.00G,999.9,"""000000"""
725090,14739,19980102,33.9,18.7,1021.7,1021.0,9.9,13.9,22.9,28.0,42.1,23.0,0.00D,999.9,"""000000"""
725090,14739,19980103,45.4,28.9,1021.1,1020.5,9.9,9.9,14.0,999.9,59.0,37.9,0.00C,999.9,"""000000"""
725090,14739,19980104,49.9,38.5,1023.5,1023.3,9.9,9.8,15.9,999.9,60.1,37.0,0.00C,999.9,"""000000"""
725090,14739,19980105,40.0,36.6,1031.3,1030.6,9.7,7.0,15.0,999.9,57.0,37.0,0.02G,999.9,"""010000"""
725090,14739,19980106,48.2,47.3,1020.8,1019.9,5.9,8.0,14.0,20.0,57.2,39.0,0.03G,999.9,"""110000"""
725090,14739,19980107,39.5,39.5,1022.1,1021.4,1.6,9.7,14.0,999.9,42.8,37.0,0.08G,999.9,"""110000"""
725090,14739,19980108,38.2,38.2,1012.8,1012.4,1.4,7.3,11.1,999.9,39.9,35.6,0.00G,999.9,"""110000"""
725090,14739,19980109,37.8,37.8,1007.1,1006.5,2.4,10.4,15.9,22.0,39.9,33.8,0.26G,999.9,"""110000"""
725090,14739,19980110,37.8,34.4,1013.7,1012.8,9.0,7.0,13.0,999.9,46.0,33.1,0.25G,999.9,"""110000"""
725090,14739,19980111,39.6,30.5,1017.3,1016.5,9.9,8.7,14.0,999.9,46.9,34.0,0.00G,999.9,"""000000"""
725090,14739,19980112,28.8,12.3,1024.6,1023.7,9.9,8.2,14.0,999.9,39.9,21.9,0.00D,999.9,"""000000"""
725090,14739,19980113,36.9,31.5,1020.3,1019.3,9.1,11.4,18.1,23.9,46.9,27.0,0.00H,999.9,"""111000"""
725090,14739,19980114,28.5,9.1,1022.9,1022.1,9.9,13.9,25.1,32.1,42.1,23.0,0.08G,999.9,"""000000"""
725090,14739,19980115,22.2,7.8,1029.0,1028.2,9.9,6.0,12.0,999.9,33.8,17.1,0.00G,999.9,"""001000"""
725090,14739,19980116,32.2,31.3,1013.9,1013.1,2.7,18.2,24.1,34.0,35.6,26.1,0.71G,999.9,"""111000"""
725090,14739,19980117,24.8,18.7,1010.6,1009.6,8.9,12.7,18.1,22.0,28.9,21.0,0.04G,999.9,"""111000"""
725090,14739,19980118,27.6,24.8,1016.5,1015.8,5.7,11.7,15.0,16.9,30.2,24.8,0.00G,999.9,"""101000"""
725090,14739,19980119,30.1,27.5,1017.9,1017.1,9.5,7.0,10.1,999.9,36.0,26.1,0.00H,999.9,"""101000"""
725090,14739,19980120,34.3,31.8,1012.7,1012.1,8.4,9.6,15.9,19.0,37.4,33.1,0.00H,999.9,"""101000"""
725090,14739,19980121,32.9,23.0,1016.4,1015.6,9.9,13.6,17.1,21.0,35.1,30.9,0.00C,999.9,"""000000"""
725090,14739,19980122,26.0,13.8,1027.7,1026.9,9.9,9.1,15.0,20.0,32.0,19.9,0.00D,999.9,"""000000"""
725090,14739,19980123,29.2,22.8,1033.8,1033.1,6.7,14.1,22.0,26.0,34.0,26.1,0.00H,999.9,"""111000"""
725090,14739,19980124,36.1,36.0,1011.2,1009.7,3.0,9.4,22.9,999.9,41.0,26.1,2.02G,999.9,"""110000"""
725090,14739,19980125,34.9,29.0,1003.4,1002.6,8.0,15.2,24.1,30.9,37.4,32.0,0.27G,999.9,"""111000"""
